Spacecraft: ASC_074A

Start Time (UTC)            Stop Time (UTC)               Duration (s)    Occ Body        Type        Event Number  Total Duration (s)
03 Jul 2026 00:57:22.972    03 Jul 2026 00:57:32.467      9.4949209015    Earth           Penumbra    1             2063.5477425
03 Jul 2026 00:57:32.467    03 Jul 2026 01:31:37.055      2044.5875556    Earth           Umbra       1             2063.5477425
03 Jul 2026 01:31:37.055    03 Jul 2026 01:31:46.520      9.4652659376    Earth           Penumbra    1             2063.5477425
03 Jul 2026 02:32:38.739    03 Jul 2026 02:32:48.228      9.4893156085    Earth           Penumbra    2             2063.9417525
03 Jul 2026 02:32:48.228    03 Jul 2026 03:06:53.222      2044.9943340    Earth           Umbra       2             2063.9417525
03 Jul 2026 03:06:53.222    03 Jul 2026 03:07:02.680      9.4581028679    Earth           Penumbra    2             2063.9417525
03 Jul 2026 04:07:54.451    03 Jul 2026 04:08:03.935      9.4835943310    Earth           Penumbra    3             2064.3494836
03 Jul 2026 04:08:03.935    03 Jul 2026 04:42:09.350      2045.4148730    Earth           Umbra       3             2064.3494836
03 Jul 2026 04:42:09.350    03 Jul 2026 04:42:18.801      9.4510161784    Earth           Penumbra    3             2064.3494836
03 Jul 2026 05:43:19.538    03 Jul 2026 06:17:25.387      2045.8485998    Earth           Umbra       4             2055.2925541
03 Jul 2026 06:17:25.387    03 Jul 2026 06:17:34.831      9.4439543202    Earth           Penumbra    4             2055.2925541
03 Jul 2026 07:18:25.587    03 Jul 2026 07:18:35.059      9.4713904895    Earth           Penumbra    5             2065.2066675
03 Jul 2026 07:18:35.059    03 Jul 2026 07:52:41.357      2046.2985426    Earth           Umbra       5             2065.2066675
03 Jul 2026 07:52:41.357    03 Jul 2026 07:52:50.794      9.4367343583    Earth           Penumbra    5             2065.2066675
03 Jul 2026 08:53:41.110    03 Jul 2026 08:53:50.575      9.4651675550    Earth           Penumbra    6             2065.6704788
03 Jul 2026 08:53:50.575    03 Jul 2026 09:27:57.351      2046.7758808    Earth           Umbra       6             2065.6704788
03 Jul 2026 09:27:57.351    03 Jul 2026 09:28:06.780      9.4294304727    Earth           Penumbra    6             2065.6704788
03 Jul 2026 10:28:56.689    03 Jul 2026 10:29:06.148      9.4591140398    Earth           Penumbra    7             2066.1632747
03 Jul 2026 10:29:06.148    03 Jul 2026 11:03:13.430      2047.2819014    Earth           Umbra       7             2066.1632747
03 Jul 2026 11:03:13.430    03 Jul 2026 11:03:22.852      9.4222592306    Earth           Penumbra    7             2066.1632747
03 Jul 2026 12:04:12.305    03 Jul 2026 12:04:21.758      9.4529835158    Earth           Penumbra    8             2066.6643888
03 Jul 2026 12:04:21.758    03 Jul 2026 12:38:29.555      2047.7962858    Earth           Umbra       8             2066.6643888
03 Jul 2026 12:38:29.555    03 Jul 2026 12:38:38.970      9.4151194207    Earth           Penumbra    8             2066.6643888
03 Jul 2026 13:39:27.887    03 Jul 2026 13:39:37.333      9.4464170281    Earth           Penumbra    9             2067.1531629
03 Jul 2026 13:39:37.333    03 Jul 2026 14:13:45.632      2048.2991174    Earth           Umbra       9             2067.1531629
03 Jul 2026 14:13:45.632    03 Jul 2026 14:13:55.040      9.4076285139    Earth           Penumbra    9             2067.1531629
03 Jul 2026 15:14:43.406    03 Jul 2026 15:14:52.845      9.4394416083    Earth           Penumbra    10            2067.6354224
03 Jul 2026 15:14:52.845    03 Jul 2026 15:49:01.642      2048.7963706    Earth           Umbra       10            2067.6354224
03 Jul 2026 15:49:01.642    03 Jul 2026 15:49:11.041      9.3996101758    Earth           Penumbra    10            2067.6354224
03 Jul 2026 16:49:58.903    03 Jul 2026 16:50:08.335      9.4324146397    Earth           Penumbra    11            2068.1338456
03 Jul 2026 16:50:08.335    03 Jul 2026 17:24:17.645      2049.3101163    Earth           Umbra       11            2068.1338456
03 Jul 2026 17:24:17.645    03 Jul 2026 17:24:27.036      9.3913146062    Earth           Penumbra    11            2068.1338456
03 Jul 2026 18:25:14.410    03 Jul 2026 18:25:23.835      9.4255702919    Earth           Penumbra    12            2068.6599711
03 Jul 2026 18:25:23.835    03 Jul 2026 18:59:33.687      2049.8513381    Earth           Umbra       12            2068.6599711
03 Jul 2026 18:59:33.687    03 Jul 2026 18:59:43.070      9.3830627273    Earth           Penumbra    12            2068.6599711
03 Jul 2026 20:00:29.912    03 Jul 2026 20:00:39.330      9.4187548617    Earth           Penumbra    13            2069.2066188
03 Jul 2026 20:00:39.330    03 Jul 2026 20:34:49.743      2050.4129814    Earth           Umbra       13            2069.2066188
03 Jul 2026 20:34:49.743    03 Jul 2026 20:34:59.118      9.3748825137    Earth           Penumbra    13            2069.2066188
03 Jul 2026 21:35:45.391    03 Jul 2026 21:35:54.803      9.4116229098    Earth           Penumbra    14            2069.7597392
03 Jul 2026 21:35:54.803    03 Jul 2026 22:10:05.784      2050.9815884    Earth           Umbra       14            2069.7597392
03 Jul 2026 22:10:05.784    03 Jul 2026 22:10:15.151      9.3665278517    Earth           Penumbra    14            2069.7597392
03 Jul 2026 23:11:00.874    03 Jul 2026 23:11:10.278      9.4039981021    Earth           Penumbra    15            2070.3092946
03 Jul 2026 23:11:10.278    03 Jul 2026 23:45:21.825      2051.5475545    Earth           Umbra       15            2070.3092946
03 Jul 2026 23:45:21.825    03 Jul 2026 23:45:31.183      9.3577419408    Earth           Penumbra    15            2070.3092946

Number of individual events : 44
Number of total events      : 15
Maximum duration (s)        :   2070.3092946
Maximum duration at the 15th eclipse.


