Spacecraft: ASC_074B

Start Time (UTC)            Stop Time (UTC)               Duration (s)    Occ Body        Type        Event Number  Total Duration (s)
03 Jul 2026 00:32:36.019    03 Jul 2026 00:32:45.655      9.6360122203    Earth           Penumbra    1             2037.5707733
03 Jul 2026 00:32:45.655    03 Jul 2026 01:06:23.947      2018.2916389    Earth           Umbra       1             2037.5707733
03 Jul 2026 01:06:23.947    03 Jul 2026 01:06:33.590      9.6431221697    Earth           Penumbra    1             2037.5707733
03 Jul 2026 02:07:47.788    03 Jul 2026 02:07:57.392      9.6034526126    Earth           Penumbra    2             2039.9715835
03 Jul 2026 02:07:57.392    03 Jul 2026 02:41:38.148      2020.7567423    Earth           Umbra       2             2039.9715835
03 Jul 2026 02:41:38.148    03 Jul 2026 02:41:47.760      9.6113885986    Earth           Penumbra    2             2039.9715835
03 Jul 2026 03:42:59.536    03 Jul 2026 03:43:09.108      9.5715417643    Earth           Penumbra    3             2042.3529086
03 Jul 2026 03:43:09.108    03 Jul 2026 04:16:52.309      2023.2009813    Earth           Umbra       3             2042.3529086
03 Jul 2026 04:16:52.309    03 Jul 2026 04:17:01.889      9.5803855103    Earth           Penumbra    3             2042.3529086
03 Jul 2026 05:18:11.287    03 Jul 2026 05:18:20.827      9.5401357161    Earth           Penumbra    4             2044.7041478
03 Jul 2026 05:18:20.827    03 Jul 2026 05:52:06.441      2025.6140739    Earth           Umbra       4             2044.7041478
03 Jul 2026 05:52:06.441    03 Jul 2026 05:52:15.991      9.5499381423    Earth           Penumbra    4             2044.7041478
03 Jul 2026 06:53:23.091    03 Jul 2026 06:53:32.601      9.5093202777    Earth           Penumbra    5             2047.0139937
03 Jul 2026 06:53:32.601    03 Jul 2026 07:27:20.585      2027.9847222    Earth           Umbra       5             2047.0139937
03 Jul 2026 07:27:20.585    03 Jul 2026 07:27:30.105      9.5199512551    Earth           Penumbra    5             2047.0139937
03 Jul 2026 08:28:34.976    03 Jul 2026 08:28:44.455      9.4791683718    Earth           Penumbra    6             2049.2858866
03 Jul 2026 08:28:44.455    03 Jul 2026 09:02:34.771      2030.3162889    Earth           Umbra       6             2049.2858866
03 Jul 2026 09:02:34.771    03 Jul 2026 09:02:44.262      9.4904292491    Earth           Penumbra    6             2049.2858866
03 Jul 2026 10:03:46.915    03 Jul 2026 10:03:56.364      9.4495376106    Earth           Penumbra    7             2051.5243774
03 Jul 2026 10:03:56.364    03 Jul 2026 10:37:48.978      2032.6134784    Earth           Umbra       7             2051.5243774
03 Jul 2026 10:37:48.978    03 Jul 2026 10:37:58.439      9.4613614376    Earth           Penumbra    7             2051.5243774
03 Jul 2026 11:38:58.855    03 Jul 2026 11:39:08.275      9.4202082837    Earth           Penumbra    8             2053.7238629
03 Jul 2026 11:39:08.275    03 Jul 2026 12:13:03.146      2034.8710341    Earth           Umbra       8             2053.7238629
03 Jul 2026 12:13:03.146    03 Jul 2026 12:13:12.579      9.4326205202    Earth           Penumbra    8             2053.7238629
03 Jul 2026 13:14:10.760    03 Jul 2026 13:14:20.151      9.3911178410    Earth           Penumbra    9             2055.8760750
03 Jul 2026 13:14:20.151    03 Jul 2026 13:48:17.232      2037.0808444    Earth           Umbra       9             2055.8760750
03 Jul 2026 13:48:17.232    03 Jul 2026 13:48:26.636      9.4041128294    Earth           Penumbra    9             2055.8760750
03 Jul 2026 14:49:22.624    03 Jul 2026 14:49:31.987      9.3623762950    Earth           Penumbra    10            2057.9787860
03 Jul 2026 14:49:31.987    03 Jul 2026 15:23:31.227      2039.2404252    Earth           Umbra       10            2057.9787860
03 Jul 2026 15:23:31.227    03 Jul 2026 15:23:40.603      9.3759845244    Earth           Penumbra    10            2057.9787860
03 Jul 2026 16:24:34.480    03 Jul 2026 16:24:43.814      9.3340892578    Earth           Penumbra    11            2060.0381366
03 Jul 2026 16:24:43.814    03 Jul 2026 16:58:45.170      2041.3555892    Earth           Umbra       11            2060.0381366
03 Jul 2026 16:58:45.170    03 Jul 2026 16:58:54.518      9.3484581448    Earth           Penumbra    11            2060.0381366
03 Jul 2026 17:59:46.379    03 Jul 2026 17:59:55.686      9.3062410131    Earth           Penumbra    12            2062.0677094
03 Jul 2026 17:59:55.686    03 Jul 2026 18:33:59.126      2043.4399718    Earth           Umbra       12            2062.0677094
03 Jul 2026 18:33:59.126    03 Jul 2026 18:34:08.447      9.3214966008    Earth           Penumbra    12            2062.0677094
03 Jul 2026 19:34:58.347    03 Jul 2026 19:35:07.626      9.2787680682    Earth           Penumbra    13            2064.0772979
03 Jul 2026 19:35:07.626    03 Jul 2026 20:09:13.130      2045.5036506    Earth           Umbra       13            2064.0772979
03 Jul 2026 20:09:13.130    03 Jul 2026 20:09:22.425      9.2948792386    Earth           Penumbra    13            2064.0772979
03 Jul 2026 21:10:19.608    03 Jul 2026 21:44:27.147      2047.5387161    Earth           Umbra       14            2056.8073140
03 Jul 2026 21:44:27.147    03 Jul 2026 21:44:36.416      9.2685978860    Earth           Penumbra    14            2056.8073140
03 Jul 2026 22:45:22.365    03 Jul 2026 22:45:31.591      9.2253306066    Earth           Penumbra    15            2067.9974266
03 Jul 2026 22:45:31.591    03 Jul 2026 23:19:41.120      2049.5291804    Earth           Umbra       15            2067.9974266
03 Jul 2026 23:19:41.120    03 Jul 2026 23:19:50.363      9.2429156299    Earth           Penumbra    15            2067.9974266

Number of individual events : 44
Number of total events      : 15
Maximum duration (s)        :   2067.9974266
Maximum duration at the 15th eclipse.


