Spacecraft: ASC_074C

Start Time (UTC)            Stop Time (UTC)               Duration (s)    Occ Body        Type        Event Number  Total Duration (s)
03 Jul 2026 00:00:00.000    03 Jul 2026 00:16:43.183      1003.1826829    Earth           Umbra       1             1016.5629193
03 Jul 2026 00:16:43.183    03 Jul 2026 00:16:56.563      13.380236342    Earth           Penumbra    1             1016.5629193
03 Jul 2026 01:22:22.215    03 Jul 2026 01:22:35.617      13.401982980    Earth           Penumbra    2             1785.3365085
03 Jul 2026 01:22:35.617    03 Jul 2026 01:51:54.066      1758.4490997    Earth           Umbra       2             1785.3365085
03 Jul 2026 01:51:54.066    03 Jul 2026 01:52:07.551      13.485425874    Earth           Penumbra    2             1785.3365085
03 Jul 2026 02:57:39.875    03 Jul 2026 02:57:53.382      13.507520780    Earth           Penumbra    3             1778.7498386
03 Jul 2026 02:57:53.382    03 Jul 2026 03:27:05.031      1751.6490014    Earth           Umbra       3             1778.7498386
03 Jul 2026 03:27:05.031    03 Jul 2026 03:27:18.625      13.593316369    Earth           Penumbra    3             1778.7498386
03 Jul 2026 04:32:57.659    03 Jul 2026 04:33:11.275      13.615611184    Earth           Penumbra    4             1772.0435102
03 Jul 2026 04:33:11.275    03 Jul 2026 05:02:15.999      1744.7239799    Earth           Umbra       4             1772.0435102
03 Jul 2026 05:02:15.999    03 Jul 2026 05:02:29.703      13.703919144    Earth           Penumbra    4             1772.0435102
03 Jul 2026 06:08:15.424    03 Jul 2026 06:08:29.150      13.725764165    Earth           Penumbra    5             1765.2488296
03 Jul 2026 06:08:29.150    03 Jul 2026 06:37:26.856      1737.7062090    Earth           Umbra       5             1765.2488296
03 Jul 2026 06:37:26.856    03 Jul 2026 06:37:40.673      13.816856383    Earth           Penumbra    5             1765.2488296
03 Jul 2026 07:43:33.160    03 Jul 2026 07:43:46.998      13.837539672    Earth           Penumbra    6             1758.3717138
03 Jul 2026 07:43:46.998    03 Jul 2026 08:12:37.600      1730.6025577    Earth           Umbra       6             1758.3717138
03 Jul 2026 08:12:37.600    03 Jul 2026 08:12:51.532      13.931616372    Earth           Penumbra    6             1758.3717138
03 Jul 2026 09:18:50.980    03 Jul 2026 09:19:04.931      13.951038290    Earth           Penumbra    7             1751.3977533
03 Jul 2026 09:19:04.931    03 Jul 2026 09:47:48.330      1723.3986942    Earth           Umbra       7             1751.3977533
03 Jul 2026 09:47:48.330    03 Jul 2026 09:48:02.378      14.048020891    Earth           Penumbra    7             1751.3977533
03 Jul 2026 10:54:08.960    03 Jul 2026 10:54:23.026      14.066750987    Earth           Penumbra    8             1744.3151531
03 Jul 2026 10:54:23.026    03 Jul 2026 11:22:59.108      1716.0818940    Earth           Umbra       8             1744.3151531
03 Jul 2026 11:22:59.108    03 Jul 2026 11:23:13.275      14.166508103    Earth           Penumbra    8             1744.3151531
03 Jul 2026 12:29:27.074    03 Jul 2026 12:29:41.259      14.185130072    Earth           Penumbra    9             1737.1064100
03 Jul 2026 12:29:41.259    03 Jul 2026 12:58:09.893      1708.6334651    Earth           Umbra       9             1737.1064100
03 Jul 2026 12:58:09.893    03 Jul 2026 12:58:24.180      14.287814777    Earth           Penumbra    9             1737.1064100
03 Jul 2026 14:04:45.288    03 Jul 2026 14:04:59.595      14.306503383    Earth           Penumbra    10            1729.7421947
03 Jul 2026 14:04:59.595    03 Jul 2026 14:33:20.618      1701.0233242    Earth           Umbra       10            1729.7421947
03 Jul 2026 14:33:20.618    03 Jul 2026 14:33:35.030      14.412367134    Earth           Penumbra    10            1729.7421947
03 Jul 2026 15:40:03.609    03 Jul 2026 15:40:18.040      14.431102260    Earth           Penumbra    11            1722.2133153
03 Jul 2026 15:40:18.040    03 Jul 2026 16:08:31.282      1693.2420831    Earth           Umbra       11            1722.2133153
03 Jul 2026 16:08:31.282    03 Jul 2026 16:08:45.822      14.540129970    Earth           Penumbra    11            1722.2133153
03 Jul 2026 17:15:22.049    03 Jul 2026 17:15:36.608      14.558965049    Earth           Penumbra    12            1714.5457809
03 Jul 2026 17:15:36.608    03 Jul 2026 17:43:41.924      1685.3157025    Earth           Umbra       12            1714.5457809
03 Jul 2026 17:43:41.924    03 Jul 2026 17:43:56.595      14.671113342    Earth           Penumbra    12            1714.5457809
03 Jul 2026 18:50:40.590    03 Jul 2026 18:50:55.280      14.690060634    Earth           Penumbra    13            1706.7618367
03 Jul 2026 18:50:55.280    03 Jul 2026 19:18:52.546      1677.2661048    Earth           Umbra       13            1706.7618367
03 Jul 2026 19:18:52.546    03 Jul 2026 19:19:07.352      14.805671177    Earth           Penumbra    13            1706.7618367
03 Jul 2026 20:25:59.193    03 Jul 2026 20:26:14.018      14.824642986    Earth           Penumbra    14            1698.8511300
03 Jul 2026 20:26:14.018    03 Jul 2026 20:54:03.100      1669.0823268    Earth           Umbra       14            1698.8511300
03 Jul 2026 20:54:03.100    03 Jul 2026 20:54:18.044      14.944160229    Earth           Penumbra    14            1698.8511300
03 Jul 2026 22:01:17.849    03 Jul 2026 22:01:32.813      14.963155298    Earth           Penumbra    15            1690.7920904
03 Jul 2026 22:01:32.813    03 Jul 2026 22:29:13.555      1660.7423707    Earth           Umbra       15            1690.7920904
