Spacecraft: ASC_80_08

Start Time (UTC)            Stop Time (UTC)               Duration (s)    Occ Body        Type        Event Number  Total Duration (s)
01 Jan 2026 00:14:30.864    01 Jan 2026 00:14:43.011      12.146686844    Earth           Penumbra    1             1881.2751817
01 Jan 2026 00:14:43.011    01 Jan 2026 00:45:39.791      1856.7806477    Earth           Umbra       1             1881.2751817
01 Jan 2026 00:45:39.791    01 Jan 2026 00:45:52.139      12.347847177    Earth           Penumbra    1             1881.2751817
01 Jan 2026 01:50:11.557    01 Jan 2026 01:50:23.707      12.149599032    Earth           Penumbra    2             1881.1219563
01 Jan 2026 01:50:23.707    01 Jan 2026 02:21:20.329      1856.6217240    Earth           Umbra       2             1881.1219563
01 Jan 2026 02:21:20.329    01 Jan 2026 02:21:32.679      12.350633321    Earth           Penumbra    2             1881.1219563
01 Jan 2026 03:25:52.319    01 Jan 2026 03:26:04.470      12.151879747    Earth           Penumbra    3             1880.9821242
01 Jan 2026 03:26:04.470    01 Jan 2026 03:57:00.948      1856.4774838    Earth           Umbra       3             1880.9821242
01 Jan 2026 03:57:00.948    01 Jan 2026 03:57:13.301      12.352760648    Earth           Penumbra    3             1880.9821242
01 Jan 2026 05:01:33.091    01 Jan 2026 05:01:45.245      12.153834198    Earth           Penumbra    4             1880.8368379
01 Jan 2026 05:01:45.245    01 Jan 2026 05:32:41.573      1856.3283308    Earth           Umbra       4             1880.8368379
01 Jan 2026 05:32:41.573    01 Jan 2026 05:32:53.928      12.354672980    Earth           Penumbra    4             1880.8368379
01 Jan 2026 06:37:13.793    01 Jan 2026 06:37:25.949      12.156242842    Earth           Penumbra    5             1880.6704236
01 Jan 2026 06:37:25.949    01 Jan 2026 07:08:22.106      1856.1569678    Earth           Umbra       5             1880.6704236
01 Jan 2026 07:08:22.106    01 Jan 2026 07:08:34.463      12.357213011    Earth           Penumbra    5             1880.6704236
01 Jan 2026 08:12:54.426    01 Jan 2026 08:13:06.585      12.159512413    Earth           Penumbra    6             1880.4913830
01 Jan 2026 08:13:06.585    01 Jan 2026 08:44:02.557      1855.9712240    Earth           Umbra       6             1880.4913830
01 Jan 2026 08:44:02.557    01 Jan 2026 08:44:14.917      12.360646657    Earth           Penumbra    6             1880.4913830
01 Jan 2026 09:48:35.054    01 Jan 2026 09:48:47.217      12.163288984    Earth           Penumbra    7             1880.3266268
01 Jan 2026 09:48:47.217    01 Jan 2026 10:19:43.016      1855.7989884    Earth           Umbra       7             1880.3266268
01 Jan 2026 10:19:43.016    01 Jan 2026 10:19:55.381      12.364349363    Earth           Penumbra    7             1880.3266268
01 Jan 2026 11:24:15.718    01 Jan 2026 11:24:27.885      12.166957115    Earth           Penumbra    8             1880.1845780
01 Jan 2026 11:24:27.885    01 Jan 2026 11:55:23.535      1855.6499605    Earth           Umbra       8             1880.1845780
01 Jan 2026 11:55:23.535    01 Jan 2026 11:55:35.903      12.367660424    Earth           Penumbra    8             1880.1845780
01 Jan 2026 12:59:56.433    01 Jan 2026 13:00:08.603      12.170253089    Earth           Penumbra    9             1880.0369580
01 Jan 2026 13:00:08.603    01 Jan 2026 13:31:04.099      1855.4960273    Earth           Umbra       9             1880.0369580
01 Jan 2026 13:31:04.099    01 Jan 2026 13:31:16.470      12.370677595    Earth           Penumbra    9             1880.0369580
01 Jan 2026 14:35:37.205    01 Jan 2026 14:35:49.379      12.173312064    Earth           Penumbra    10            1879.8579507
01 Jan 2026 14:35:49.379    01 Jan 2026 15:06:44.689      1855.3107707    Earth           Umbra       10            1879.8579507
01 Jan 2026 15:06:44.689    01 Jan 2026 15:06:57.063      12.373867957    Earth           Penumbra    10            1879.8579507
01 Jan 2026 16:11:18.003    01 Jan 2026 16:11:30.180      12.176326721    Earth           Penumbra    11            1879.6668747
01 Jan 2026 16:11:30.180    01 Jan 2026 16:42:25.293      1855.1133338    Earth           Umbra       11            1879.6668747
01 Jan 2026 16:42:25.293    01 Jan 2026 16:42:37.670      12.377214222    Earth           Penumbra    11            1879.6668747
01 Jan 2026 17:46:58.757    01 Jan 2026 17:47:10.937      12.179319374    Earth           Penumbra    12            1879.5031237
01 Jan 2026 17:47:10.937    01 Jan 2026 18:18:05.880      1854.9435515    Earth           Umbra       12            1879.5031237
01 Jan 2026 18:18:05.880    01 Jan 2026 18:18:18.261      12.380252767    Earth           Penumbra    12            1879.5031237
01 Jan 2026 19:22:39.441    01 Jan 2026 19:22:51.624      12.182215531    Earth           Penumbra    13            1879.3696924
01 Jan 2026 19:22:51.624    01 Jan 2026 19:53:46.428      1854.8046491    Earth           Umbra       13            1879.3696924
01 Jan 2026 19:53:46.428    01 Jan 2026 19:53:58.811      12.382827688    Earth           Penumbra    13            1879.3696924
01 Jan 2026 20:58:20.090    01 Jan 2026 20:58:32.275      12.185068941    Earth           Penumbra    14            1879.2329358
01 Jan 2026 20:58:32.275    01 Jan 2026 21:29:26.938      1854.6625193    Earth           Umbra       14            1879.2329358
01 Jan 2026 21:29:26.938    01 Jan 2026 21:29:39.323      12.385347602    Earth           Penumbra    14            1879.2329358
01 Jan 2026 22:34:00.731    01 Jan 2026 22:34:12.919      12.188086740    Earth           Penumbra    15            1879.0726046
01 Jan 2026 22:34:12.919    01 Jan 2026 23:05:07.415      1854.4962835    Earth           Umbra       15            1879.0726046
01 Jan 2026 23:05:07.415    01 Jan 2026 23:05:19.803      12.388234329    Earth           Penumbra    15            1879.0726046

Number of individual events : 45
Number of total events      : 15
Maximum duration (s)        :   1881.2751817
Maximum duration at the 1st eclipse.


