Spacecraft: ASC_074_34

Start Time (UTC)            Stop Time (UTC)               Duration (s)    Occ Body        Type        Event Number  Total Duration (s)
03 Jul 2026 00:00:00.000    03 Jul 2026 00:04:45.638      285.63772253    Earth           Umbra       1             298.99107653
03 Jul 2026 00:04:45.638    03 Jul 2026 00:04:58.991      13.353354007    Earth           Penumbra    1             298.99107653
03 Jul 2026 01:10:33.820    03 Jul 2026 01:10:47.186      13.365446264    Earth           Penumbra    2             1782.9818382
03 Jul 2026 01:10:47.186    03 Jul 2026 01:40:03.344      1756.1584258    Earth           Umbra       2             1782.9818382
03 Jul 2026 01:40:03.344    03 Jul 2026 01:40:16.802      13.457966130    Earth           Penumbra    2             1782.9818382
03 Jul 2026 02:45:58.290    03 Jul 2026 02:46:11.760      13.470335933    Earth           Penumbra    3             1776.4097075
03 Jul 2026 02:46:11.760    03 Jul 2026 03:15:21.134      1749.3741200    Earth           Umbra       3             1776.4097075
03 Jul 2026 03:15:21.134    03 Jul 2026 03:15:34.700      13.565251557    Earth           Penumbra    3             1776.4097075
03 Jul 2026 04:21:22.901    03 Jul 2026 04:21:36.479      13.577809010    Earth           Penumbra    4             1769.7140415
03 Jul 2026 04:21:36.479    03 Jul 2026 04:50:38.940      1742.4609760    Earth           Umbra       4             1769.7140415
03 Jul 2026 04:50:38.940    03 Jul 2026 04:50:52.615      13.675256493    Earth           Penumbra    4             1769.7140415
03 Jul 2026 05:56:47.506    03 Jul 2026 05:57:01.193      13.687401870    Earth           Penumbra    5             1762.9273733
03 Jul 2026 05:57:01.193    03 Jul 2026 06:25:56.646      1735.4523243    Earth           Umbra       5             1762.9273733
03 Jul 2026 06:25:56.646    03 Jul 2026 06:26:10.433      13.787647127    Earth           Penumbra    5             1762.9273733
03 Jul 2026 07:32:12.074    03 Jul 2026 07:32:25.872      13.798632345    Earth           Penumbra    6             1756.0595746
03 Jul 2026 07:32:25.872    03 Jul 2026 08:01:14.231      1728.3590371    Earth           Umbra       6             1756.0595746
03 Jul 2026 08:01:14.231    03 Jul 2026 08:01:28.133      13.901905145    Earth           Penumbra    6             1756.0595746
03 Jul 2026 09:07:36.711    03 Jul 2026 09:07:50.622      13.911542238    Earth           Penumbra    7             1749.0970259
03 Jul 2026 09:07:50.622    03 Jul 2026 09:36:31.790      1721.1676867    Earth           Umbra       7             1749.0970259
